element,n_lines,[X/H],std_[X/H],[X/Fe],mean_abund,std_abund,log_eps,normal_abund,x_over_h,x_over_fe
Fe I,38,-0.08302631578947336,0.022904247873202877,0.0,-4.648789473684211,0.032344492653095455,7.351210526315789,,"[-0.1   -0.13  -0.097 -0.074 -0.107 -0.061 -0.049 -0.052 -0.108 -0.07
 -0.093 -0.046 -0.056 -0.096 -0.106 -0.091 -0.11  -0.071 -0.081 -0.056
 -0.068 -0.068 -0.114 -0.107 -0.064 -0.072 -0.105 -0.131 -0.089 -0.077
 -0.086 -0.082 -0.041 -0.068 -0.085 -0.104 -0.054 -0.086]",0.0
Fe II,5,-0.07759999999999963,0.011182128598795395,0.0,-4.671399999999999,0.028959281759049067,7.328600000000001,,[-0.066 -0.092 -0.083 -0.063 -0.084],0.0
Al 1,2,-0.05999999999999961,0.01100000000000012,0.023026315789473756,-5.7299999999999995,0.01100000000000012,6.2700000000000005,[6.317 6.295],[-0.049 -0.071],[0.03402632 0.01202632]
Ba 2,2,-0.10650000000000026,0.0004999999999999449,-0.028900000000000634,-9.9765,0.0005000000000006111,2.0235000000000003,[2.06  2.059],[-0.106 -0.107],[-0.0284 -0.0294]
Ca 1,10,-0.07939999999999917,0.039092710317909646,0.0036263157894741993,-5.809399999999999,0.03909271031790965,6.190600000000001,[6.193 6.265 6.209 6.181 6.291 6.2   6.174 6.26  6.227 6.266],[-0.113 -0.041 -0.097 -0.125 -0.015 -0.106 -0.132 -0.046 -0.079 -0.04 ],"[-0.02997368  0.04202632 -0.01397368 -0.04197368  0.06802632 -0.02297368
 -0.04897368  0.03702632  0.00402632  0.04302632]"
Ce 2,2,-0.20099999999999962,0.0020000000000000018,-0.1234,-10.541,0.0019999999999997797,1.4589999999999996,[1.497 1.493],[-0.199 -0.203],[-0.1214 -0.1254]
Co 1,3,0.006666666666667116,0.1262651531060286,0.08969298245614048,-7.113333333333333,0.1262651531060286,4.886666666666667,[4.796 4.877 5.095],[-0.12  -0.039  0.179],[-0.03697368  0.04402632  0.26202632]
Cr 1,6,-0.11533333333333247,0.024170689320377706,-0.032307017543859104,-6.515333333333332,0.024170689320377706,5.484666666666668,[5.493 5.535 5.515 5.526 5.562 5.493],[-0.143 -0.101 -0.121 -0.11  -0.074 -0.143],[-0.05997368 -0.01797368 -0.03797368 -0.02697368  0.00902632 -0.05997368]
Cr 2,3,-0.13399999999999915,0.04678318786344778,-0.05639999999999952,-6.533999999999999,0.046783187863447775,5.466000000000001,[5.44  5.553 5.513],[-0.196 -0.083 -0.123],[-0.1184 -0.0054 -0.0454]
Cu 1,2,0.07250000000000068,0.34750000000000014,0.15552631578947404,-7.7575,0.3475000000000006,4.2425,[4.626 3.931],[ 0.42  -0.275],[ 0.50302632 -0.19197368]
