element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Ag 1	3280.68	328.068	-0.022	0.0	0.0	0.5	3.778	30471.625	1.5	4.0	99.0	99.0	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.87	34.86	s	p	F	0	1	47.0	47.0	47.0	Melendez2014	T	T	T	F	T	T
Ag 1	3382.89	338.289	-0.334	0.0	0.0	0.5	3.664	29552.153	0.5	2.0	99.0	99.0	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.73	25.47	s	p	F	0	1	47.0	47.0	47.0	Melendez2014	T	T	T	F	T	T
Al 1	6696.018	669.6018	-1.481	3.143	25349.99222	0.5	4.994	40279.327	1.5	4.0	99.0	99.0	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.38	42.85	s	p	F	0	1	13.0	13.0	13.0	Melendez2014	T	T	T	F	T	T
Al 1	6698.667	669.8667	-1.782	3.143	25349.99222	0.5	4.993	40271.261	0.5	2.0	99.0	99.0	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.26	27.03	s	p	F	0	1	13.0	13.0	13.0	Melendez2014	T	T	T	F	T	T
Al 1	7835.309	783.5309	-0.68	4.021	32431.53634	1.5	5.603	45191.243	2.5	6.0	99.0	99.0	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.27	40.79	d	f	F	0	1	13.0	13.0	13.0	Melendez2014	T	T	T	F	T	T
Al 1	7836.134	783.6134	-0.45	4.021	32431.53634	2.5	5.603	45191.243	2.5	6.0	99.0	99.0	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.03	4.14	d	f	F	0	1	13.0	13.0	13.0	Melendez2014	T	T	T	F	T	T
Al 1	8772.866	877.2866	-0.38	4.0215	32435.56911	1.5	5.434	43828.166	2.5	6.0	99.0	99.0	AO	100000.0	0.0	0.0	2983.344	-6.675	2983.344	1.0	0.34	80.74	d	f	F	0	1	13.0	13.0	13.0	Melendez2014	T	T	T	F	T	T
Al 1	8773.896	877.3896000000001	-0.22	4.0216	32436.375664000003	2.5	5.434	43828.166	3.5	8.0	99.0	99.0	AO	100000.0	0.0	0.0	2983.344	-6.675	2983.344	1.0	0.38	99.31	d	f	F	0	1	13.0	13.0	13.0	Melendez2014	T	T	T	F	T	T
Ba 2	5853.67	585.367	-0.91	0.604	4871.58616	1.5	2.722	21954.411	1.5	4.0	0.79	1.32	AO	100000.0	0.0	0.0	365.264	-7.578	365.264	1.0	0.71	62.11	d	p	F	0	2	56.1	56.0	56.01	Melendez2014	T	T	T	F	T	T
Ba 2	6141.71	614.171	-0.08	0.704	5678.14016	2.5	2.722	21954.411	1.5	4.0	1.12	1.32	AO	100000.0	0.0	0.0	365.264	-7.578	365.264	1.0	0.78	112.83	d	p	F	0	2	56.1	56.0	56.01	Melendez2014	T	T	T	F	T	T
Ba 2	6496.9	649.6899999999999	-0.38	0.604	4871.58616	1.5	2.512	20260.647	0.5	2.0	0.79	99.0	AO	100000.0	0.0	0.0	365.264	-7.578	365.264	1.0	0.74	100.49	d	p	F	0	2	56.1	56.0	56.01	Melendez2014	T	T	T	F	T	T
C 1	5380.337	538.0337000000001	-1.57	7.685	61983.6749	1.0	9.989	80566.719	1.0	3.0	1.0	1.0	GA	490000000.0	8.69	-5.65	-7.37	-7.37	-7.37	1.0	0.16	19.07	s	p	F	0	1	6.0	6.0	6.0	Melendez2014	T	T	T	T	T	T
C 1	6587.61	658.761	-1.05	8.537	68855.51498	1.0	10.419	84034.903	1.0	3.0	1.0	1.0	GA	126000000.0	8.1	-3.44	-7.26	-7.26	-7.26	1.0	0.08	16.35	p	d	F	0	1	6.0	6.0	6.0	Melendez2014	T	T	T	T	T	T
C 1	7111.47	711.147	-1.07	8.64	69686.2656	1.0	10.383	83744.543	2.0	5.0	0.5	0.68	AO	31600000.0	7.5	-4.13	1843.313	-6.872	1843.313	1.0	0.06	10.66	p	s	F	0	1	6.0	6.0	6.0	Melendez2014	T	T	T	T	T	T
C 1	7113.179	711.3179	-0.76	8.647	69742.72438	3.0	10.39	83801.002	4.0	9.0	1.33	1.25	AO	27500000.0	7.44	-4.13	1858.314	-6.869	1858.314	1.0	0.1	18.86	p	d	F	0	1	6.0	6.0	6.0	Melendez2014	T	T	T	T	T	T
Ca 1	5260.387	526.0387	-1.719	2.521	20333.22634	1.0	4.878	39343.724	2.0	5.0	0.5	1.5	AO	79800000.0	7.902	-5.756	421.26	-7.512	421.26	1.0	0.46	33.6	s	p	F	0	1	20.0	20.0	20.0	Melendez2014	T	T	T	T	T	T
Ca 1	5512.98	551.298	-0.464	2.933	23656.22882	1.0	5.181	41787.583	0.0	1.0	1.0	0.0	GA	280000000.0	8.447	-4.053	-7.316	-7.316	-7.316	1.0	0.68	89.7	s	p	F	0	1	20.0	20.0	20.0	Melendez2014	T	T	T	T	T	T
Ca 1	5581.965	558.1965	-0.555	2.5229	20348.550866	2.0	4.744	38262.941	3.0	7.0	1.16	1.33	AO	71300000.0	7.853	-6.072	400.282	-7.538	400.282	1.0	0.71	96.08	s	p	F	0	1	20.0	20.0	20.0	Melendez2014	T	T	T	T	T	T
Ca 1	5590.114	559.0114	-0.571	2.521	20333.22634	1.0	4.739	38222.613	2.0	5.0	0.5	1.17	AO	71100000.0	7.852	-6.071	399.282	-7.539	399.282	1.0	0.71	95.22	s	p	F	0	1	20.0	20.0	20.0	Melendez2014	T	T	T	T	T	T
Ca 1	5867.562	586.7562	-1.57	2.933	23656.22882	1.0	5.045	40690.669	0.0	1.0	1.0	0.0	GA	262000000.0	8.419	-4.705	-7.46	-7.46	-7.46	1.0	0.31	24.19	p	s	F	0	1	20.0	20.0	20.0	Melendez2014	T	T	T	T	T	T
Ca 1	6166.439	616.6439	-1.142	2.521	20333.22634	1.0	4.531	36544.98	0.0	1.0	0.5	0.0	AO	18600000.0	7.269	-4.999	976.257	-7.146	976.257	1.0	0.58	72.12	s	p	F	0	1	20.0	20.0	20.0	Melendez2014	T	T	T	T	T	T
Ca 1	6169.042	616.9042000000001	-0.797	2.523	20349.35742	2.0	4.532	36553.045	1.0	3.0	1.16	1.49	AO	19800000.0	7.296	-4.997	976.257	-7.146	976.257	1.0	0.64	96.85	s	p	F	0	1	20.0	20.0	20.0	Melendez2014	T	T	T	T	T	T
Ca 1	6455.598	645.5598	-1.34	2.523	20349.35742	2.0	4.443	35835.212	2.0	5.0	1.16	0.89	AO	46500000.0	7.667	-6.072	365.241	-7.57	365.241	1.0	0.52	55.56	s	p	F	0	1	20.0	20.0	20.0	Melendez2014	T	T	T	T	T	T
Ca 1	6471.662	647.1662	-0.686	2.525	20365.4885	3.0	4.441	35819.081	3.0	7.0	1.33	1.08	AO	44200000.0	7.645	-6.072	365.241	-7.57	365.241	1.0	0.63	91.89	s	p	F	0	1	20.0	20.0	20.0	Melendez2014	T	T	T	T	T	T
