element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Fe 2	5264.812	526.4812	-3.13	3.2304	26054.920416	2.5	5.585	45046.063	1.5	4.0	0.57	1.15	AO	363000000.0	8.56	-6.53	186.3	-7.875	186.3	1.0	0.59	45.87	s	p	F	0	2	26.1	26.0	26.01	Melendez2014	T	T	T	T	T	T
Fe 1	5649.987	564.9987	-0.8	5.0995	41130.22123	1.0	7.293	58822.012	2.0	5.0	-0.01	0.34	AO	759000000.0	8.88	-5.29	719.265	-7.282	719.265	1.0	0.38	27.96	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Fe 1	6752.707	675.2707	-1.204	4.638	37407.97452	1.0	6.474	52216.332	1.0	3.0	2.5	1.42	AO	263000000.0	8.42	-5.47	778.274	-7.249	778.274	1.0	0.4	37.25	d	f	F	0	1	26.0	26.0	26.0	Melendez2014	T	T	T	T	T	T
Eu 2	3819.67	381.967	0.51	0.0	0.0	4.0	3.245	26172.69	5.0	11.0	1.98	1.79	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.64	23.25	s	p	F	151	2	63.1	63.151	63.01	Melendez2014	T	T	T	F	T	T
Eu 2	3907.11	390.711	0.17	0.207	1669.56678	3.0	3.379	27253.473	2.0	5.0	1.98	2.31	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.34	11.09	s	p	F	153	2	63.1	63.153	63.01	Melendez2014	T	T	T	F	T	T
Eu 2	4129.72	412.972	0.22	0.0	0.0	4.0	3.001	24204.698	4.0	9.0	1.98	1.88	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.49	17.93	s	p	F	153	2	63.1	63.153	63.01	Melendez2014	T	T	T	F	T	T
Ni 1	6204.604	620.4604	-1.14	4.088	32971.92752	4.0	6.086	49086.901	4.0	9.0	1.22	1.33	AO	191000000.0	8.28	-5.46	719.247	-7.278	719.247	1.0	0.31	23.7	p	s	F	0	1	28.0	28.0	28.0	Melendez2014	T	T	T	T	T	T
Si 1	6125.021	612.5020999999999	-1.5	5.614	45279.94156	1.0	7.637	61596.56	2.0	5.0	0.5	0.92	GA	81300000.0	7.91	-5.56	-7.13	-7.13	-7.13	1.0	0.32	33.66	d	f	F	0	1	14.0	14.0	14.0	Melendez2014	T	T	T	T	T	T
Si 1	6145.015	614.5015000000001	-1.41	5.616	45296.07264	2.0	7.633	61564.297	3.0	7.0	1.17	0.93	GA	83200000.0	7.92	-3.63	-7.13	-7.13	-7.13	1.0	0.37	45.21	d	f	F	0	1	14.0	14.0	14.0	Melendez2014	T	T	T	T	T	T
Si 1	6243.823	624.3823	-1.27	5.616	45296.07264	2.0	7.601	61306.2	3.0	7.0	1.17	0.87	GA	81300000.0	7.91	-3.5	-7.13	-7.13	-7.13	1.0	0.39	51.0	d	f	F	0	1	14.0	14.0	14.0	Melendez2014	T	T	T	T	T	T
Si 1	6721.848	672.1848	-1.12	5.862	47280.19548	1.0	7.707	62161.148	2.0	5.0	1.0	0.87	GA	24500000.0	7.39	-3.1	-7.02	-7.02	-7.02	1.0	0.17	22.99	p	d	F	0	1	14.0	14.0	14.0	Melendez2014	T	T	T	T	T	T
