element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Eu 2	3819.670	381.9670	0.510	0.0000	0.000	4.0	3.2450	26172.690	5.0	11.0	1.980	1.790	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.640	23.250	s	p	F	151	2	63.1	63.151	63.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Eu 2	3907.110	390.7110	0.170	0.2070	1669.567	3.0	3.3790	27253.473	2.0	5.0	1.980	2.310	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.340	11.090	s	p	F	153	2	63.1	63.153	63.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ce 2	3999.237	399.9237	0.060	0.2950	2379.334	4.5	3.3950	27382.522	5.5	12.0	1.040	1.050	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.650	25.200	X	X	F	0	2	58.1	58.0	58.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Zr 2	4050.320	405.0320	-1.060	0.7130	5750.730	2.5	3.7740	30439.363	1.5	4.0	0.880	0.590	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.590	24.810	s	p	F	0	2	40.1	40.0	40.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Eu 2	4129.720	412.9720	0.220	0.0000	0.000	4.0	3.0010	24204.698	4.0	9.0	1.980	1.880	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.490	17.930	s	p	F	153	2	63.1	63.153	63.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Zr 2	4208.980	420.8980	-0.510	0.7130	5750.730	2.5	3.6580	29503.760	2.5	6.0	0.880	0.840	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.800	45.350	s	p	F	0	2	40.1	40.0	40.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Zr 2	4442.992	444.2992	-0.420	1.4860	11985.392	4.5	4.2760	34488.266	3.5	8.0	0.910	0.890	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.500	22.590	d	p	F	0	2	40.1	40.0	40.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ti 1	4465.802	446.5802	-0.163	1.7393	14028.394	2.0	4.5150	36415.931	3.0	7.0	1.820	1.660	AO	1.35E+08	8.130	-6.050	331.247	-7.615	331.247	1.000	0.670	41.250	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 2	4470.857	447.0857	-2.060	1.1649	9395.548	1.5	3.9370	31754.047	1.5	4.0	1.740	0.920	GA	1.45E+08	8.160	-6.600	-7.850	-7.850	-7.850	1.000	0.800	65.510	d	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 2	4544.028	454.4028	-2.530	1.2429	10024.660	2.5	3.9710	32028.275	2.5	6.0	1.600	1.200	GA	1.48E+08	8.170	-6.410	-7.850	-7.850	-7.850	1.000	0.620	38.160	s	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 1	4555.485	455.5485	-0.488	0.8484	6842.804	5.0	3.5690	28785.927	4.0	9.0	1.410	1.340	AO	1.35E+08	8.130	-5.280	345.242	-7.596	345.242	1.000	0.810	68.990	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ce 2	4562.359	456.2359	0.210	0.4770	3847.263	3.5	3.1950	25769.413	4.5	10.0	0.670	0.800	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.600	26.430	s	p	F	0	2	58.1	58.0	58.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
