wave_peak	wave_base	wave_top	note
504.4218759553217	504.40587481804897	504.4398772347535	
505.46395002020785	505.4429485275374	505.48795172611693	
512.736466910661	512.7104650625927	512.7544681900927	
519.7579659601481	519.7369644674777	519.7769673106595	
519.8719740632163	519.843972072989	519.8989759823639	
522.5531646274771	522.5351633480452	522.5691657647499	
523.4632293098632	523.4372274617951	523.4912313000905	
524.2492851783859	524.229283756795	524.273286884295	
524.7053175906585	524.6883163823062	524.7203186568516	
525.0213400517948	525.0063389856016	525.0403414023061	
526.4804437568513	526.4624424774195	526.4994451073626	
529.5316606205438	529.5146594121916	529.5506619710552	
537.3712178130991	537.3492162493491	537.3922193057695	
537.9582595367922	537.9372580441217	537.9802611005421	
538.6333075154852	538.6193065203715	538.6493086527579	
541.4075046901437	541.3855031263937	541.4265060406551	
542.5255841570753	542.5045826644048	542.5515860051435	
546.6398765783244	546.6188750856539	546.6658784263926	
546.6988807720176	546.6818795636653	546.7148819092903	
552.2452749791755	552.2272736997437	552.2632762586073	
554.6514459965614	554.6324446460501	554.6684472049137	
556.0215433755384	556.0025420250271	556.044545010368	
561.8639586222417	561.8459573428099	561.8809598305941	
563.8270981513891	563.7950958768437	563.8510998572982	
564.9991814566162	564.9831803193434	565.0191828782071	
566.1342621319	566.1172609235477	566.15626369565	
567.902387800536	567.8813863078656	567.9293897196837	
570.1555479427515	570.1305461657628	570.1765494354219	
570.5465757348536	570.5285744554218	570.5675772275241	
585.5086391559302	585.4936380897369	585.5256403642824	
590.5679987473495	590.5459971835995	590.5900003110995	
591.6250738784289	591.6100728122357	591.6430751578607	
592.7791559042241	592.7591544826332	592.8021575390536	
593.4662047358717	593.4412029588831	593.4892063707013	
595.6703613951894	595.6533601868372	595.6913628878599	
598.7065771926888	598.6815754157002	598.7305788985979	
600.3016905645635	600.2766887875748	600.3306926258703	
600.5547085476884	600.5367072682566	600.5717097560407	
602.7058614397903	602.6858600181994	602.732863358938	
605.6010672150737	605.5780655802442	605.6240688499033	
607.9012306980278	607.8812292764369	607.9242323328574	
608.2712569974595	608.2572560023459	608.2912584190505	
609.3643346874026	609.341333052573	609.385336180073	
609.6673562245047	609.6443545896752	609.6893577882547	
615.1617467355263	615.1347448163785	615.1837482992763	
615.773790236208	615.7527887435376	615.8007921553558	
616.5368444699011	616.5118426929124	616.556845891492	
617.3339011202986	617.310899485469	617.3629031816054	
618.8000053229119	618.7720033326847	618.8210068155825	
620.0320928929117	620.0060910448435	620.0550945277412	
621.3441861492751	621.3231846566046	621.3681878551841	
621.9292277308091	621.8952253141044	621.951229294559	
622.6742806850702	622.6552793345588	622.7002825331384	
624.0653795567177	624.0473782772858	624.0883811915472	
624.7564286726835	624.7394274643311	624.7764300942744	
626.514553630524	626.4785510716604	626.5385553364331	
627.0235898100125	627.0075886727398	627.0465914448421	
627.1285972733648	627.1135962071717	627.1445984106375	
638.0743752389876	638.051373604158	638.1003770870557	
641.6926324047822	641.6706308410323	641.7156340396118	
643.2687444261455	643.2447427202364	643.2887458477364	
645.6389128846679	645.6069106101224	645.6619145194974	
649.8942153281329	649.8722137643829	649.9132166786442	
659.387890086256	659.3588880249491	659.4178922186422	
659.7569163146081	659.7349147508581	659.776917736199	
670.3576697577878	670.3266675543218	670.3816714636969	
670.5106806329582	670.4816785716514	670.5336822677878	
671.3747420456853	671.3507403397762	671.3967436094354	
672.6668338804577	672.6408320323897	672.6918356574464	
673.3158800110826	673.288878091935	673.334881361594	
675.0160008463096	674.9899989982414	675.0440028365368	
675.2710189715935	675.2520176210822	675.2860200377868	
680.6854037962516	680.6664024457402	680.7114056443197	
681.0264280343765	681.0024263284674	681.0524298824447	
683.9836382165918	683.9606365817623	684.011640206819	
684.3656653689782	684.3356632365917	684.3956675013644	
685.8157684343187	685.7917667284096	685.8387700691483	
