element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Eu 2	3819.670	381.9670	0.510	0.0000	0.000	4.0	3.2450	26172.690	5.0	11.0	1.980	1.790	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.640	23.250	s	p	F	151	2	63.1	63.151	63.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	381.9682	381.9622	381.9812		3901	3895	3914	0.418	0.397	381.9622	381.9812	3895	3914	381.9665	0.0087	-0.4184	1.000	9999.0000	0.0038	0.0206	16.1658	18545	0.418	0.227	0.0092	-4.62	91.7	0.0	0.0	0.000	0.000	0.0000	0.031	0.0000	0.0000	0	0.000	False	False	False
Eu 2	3907.110	390.7110	0.170	0.2070	1669.567	3.0	3.3790	27253.473	2.0	5.0	1.980	2.310	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.340	11.090	s	p	F	153	2	63.1	63.153	63.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	390.7108	390.7038	390.7178		12643	12636	12650	0.238	0.217	390.7038	390.7178	12636	12650	390.7113	0.0049	-0.2374	1.000	9999.0000	0.0034	0.0115	8.8321	33943	0.237	0.114	0.0029	-5.13	29.1	0.0	0.0	0.000	0.000	0.0000	0.018	0.0000	0.0000	0	0.000	False	False	False
Ce 2	3999.237	399.9237	0.060	0.2950	2379.334	4.5	3.3950	27382.522	5.5	12.0	1.040	1.050	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.650	25.200	X	X	F	0	2	58.1	58.0	58.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	399.9234	399.9114	399.9294		21855	21843	21861	0.222	0.202	399.9114	399.9294	21843	21861	399.9235	0.0037	-0.2195	1.000	9999.0000	0.0025	0.0088	6.6185	45296	0.220	0.199	0.0021	-5.29	20.6	0.0	0.0	0.000	0.000	0.0000	0.015	0.0000	0.0000	0	0.000	False	False	False
Zr 2	4050.320	405.0320	-1.060	0.7130	5750.730	2.5	3.7740	30439.363	1.5	4.0	0.880	0.590	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.590	24.810	s	p	F	0	2	40.1	40.0	40.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	405.0318	405.0188	405.0408		26963	26950	26972	0.274	0.253	405.0188	405.0408	26950	26972	405.0322	0.0033	-0.2748	1.000	9999.0000	0.0018	0.0078	5.7382	52245	0.275	0.272	0.0023	-5.25	22.7	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Eu 2	4129.720	412.9720	0.220	0.0000	0.000	4.0	3.0010	24204.698	4.0	9.0	1.980	1.880	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.490	17.930	s	p	F	153	2	63.1	63.153	63.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	412.9714	412.9574	412.9854		34902	34888	34916	0.330	0.310	412.9574	412.9854	34888	34916	412.9713	0.0071	-0.3278	1.000	9999.0000	0.0028	0.0166	12.0810	24815	0.328	0.324	0.0058	-4.85	58.1	0.0	0.0	0.000	0.000	0.0000	0.033	0.0000	0.0000	0	0.000	False	False	False
Zr 2	4208.980	420.8980	-0.510	0.7130	5750.730	2.5	3.6580	29503.760	2.5	6.0	0.880	0.840	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.800	45.350	s	p	F	0	2	40.1	40.0	40.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	420.8979	420.8879	420.9119		42828	42818	42842	0.457	0.436	420.8879	420.9119	42818	42842	420.8984	0.0036	-0.4584	1.000	9999.0000	0.0013	0.0085	6.0658	49423	0.458	0.455	0.0042	-5.01	41.6	0.0	0.0	0.000	0.000	0.0000	0.016	0.0000	0.0000	0	0.000	False	False	False
Zr 2	4442.992	444.2992	-0.420	1.4860	11985.392	4.5	4.2760	34488.266	3.5	8.0	0.910	0.890	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.500	22.590	d	p	F	0	2	40.1	40.0	40.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	444.2996	444.2926	444.3076		66228	66221	66236	0.235	0.214	444.2926	444.3076	66221	66236	444.2999	0.0041	-0.2342	1.000	9999.0000	0.0029	0.0096	6.4647	46374	0.234	0.152	0.0024	-5.27	23.9	0.0	0.0	0.000	0.000	0.0000	0.020	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4465.802	446.5802	-0.163	1.7393	14028.394	2.0	4.5150	36415.931	3.0	7.0	1.820	1.660	AO	1.35E+08	8.130	-6.050	331.247	-7.615	331.247	1.000	0.670	41.250	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	446.5808	446.5668	446.5988		68509	68495	68527	0.374	0.353	446.5668	446.5988	68495	68527	446.5808	0.0038	-0.3725	1.000	9999.0000	0.0015	0.0090	6.0570	49495	0.372	0.363	0.0036	-5.10	35.8	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4470.857	447.0857	-2.060	1.1649	9395.548	1.5	3.9370	31754.047	1.5	4.0	1.740	0.920	GA	1.45E+08	8.160	-6.600	-7.850	-7.850	-7.850	1.000	0.800	65.510	d	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	447.0848	447.0678	447.1058		69013	68996	69034	0.567	0.546	447.0678	447.1058	68996	69034	447.0852	0.0043	-0.5690	1.000	9999.0000	0.0011	0.0101	6.7931	44132	0.569	0.565	0.0061	-4.86	61.4	0.0	0.0	0.000	0.000	0.0000	0.012	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4544.028	454.4028	-2.530	1.2429	10024.660	2.5	3.9710	32028.275	2.5	6.0	1.600	1.200	GA	1.48E+08	8.170	-6.410	-7.850	-7.850	-7.850	1.000	0.620	38.160	s	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	454.4023	454.3903	454.4213		76330	76318	76349	0.361	0.340	454.3903	454.4213	76318	76349	454.4017	0.0043	-0.3605	1.000	9999.0000	0.0016	0.0102	6.7239	44586	0.361	0.353	0.0039	-5.07	39.1	0.0	0.0	0.000	0.000	0.0000	0.017	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4555.485	455.5485	-0.488	0.8484	6842.804	5.0	3.5690	28785.927	4.0	9.0	1.410	1.340	AO	1.35E+08	8.130	-5.280	345.242	-7.596	345.242	1.000	0.810	68.990	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	455.5484	455.5354	455.5674		77476	77463	77495	0.578	0.557	455.5354	455.5674	77463	77495	455.5489	0.0042	-0.5810	1.000	9999.0000	0.0011	0.0099	6.5162	46007	0.581	0.580	0.0061	-4.87	61.2	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Ce 2	4562.359	456.2359	0.210	0.4770	3847.263	3.5	3.1950	25769.413	4.5	10.0	0.670	0.800	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.600	26.430	s	p	F	0	2	58.1	58.0	58.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	456.2365	456.2245	456.2535		78164	78152	78181	0.222	0.201	456.2245	456.2535	78152	78181	456.2364	0.0039	-0.2203	1.000	9999.0000	0.0020	0.0091	5.9650	50259	0.220	0.217	0.0021	-5.33	21.3	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4583.408	458.3408	-2.870	1.1650	9396.354	1.5	3.8690	31205.590	2.5	6.0	1.740	0.870	GA	1.41E+08	8.150	-6.590	-7.850	-7.850	-7.850	1.000	0.530	30.130	d	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	458.3416	458.3266	458.3576		80269	80254	80285	0.297	0.277	458.3266	458.3576	80254	80285	458.3413	0.0040	-0.2976	1.000	9999.0000	0.0017	0.0094	6.1167	49012	0.298	0.291	0.0030	-5.19	29.6	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Cr 2	4588.199	458.8199	-0.594	4.0710	32834.813	3.5	6.7730	54627.930	2.5	6.0	1.230	1.380	AO	2.34E+08	8.370	-6.570	232.218	-7.764	232.218	1.000	0.770	74.330	d	p	F	0	2	24.1	24.0	24.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	458.8206	458.8036	458.8356		80748	80731	80763	0.563	0.542	458.8036	458.8356	80731	80763	458.8202	0.0047	-0.5640	1.000	9999.0000	0.0013	0.0111	7.2518	41340	0.564	0.553	0.0067	-4.84	66.6	0.0	0.0	0.000	0.000	0.0000	0.014	0.0000	0.0000	0	0.000	False	False	False
Cr 2	4592.049	459.2049	-1.252	4.0730	32850.944	2.5	6.7730	54627.930	2.5	6.0	1.030	1.380	AO	1.00E+05	0.000	0.000	232.233	-7.767	232.233	1.000	0.660	48.650	d	p	F	0	2	24.1	24.0	24.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	459.2057	459.1907	459.2237		81133	81118	81151	0.399	0.379	459.1907	459.2237	81118	81151	459.2054	0.0045	-0.3990	1.000	9999.0000	0.0015	0.0106	6.9219	43311	0.399	0.397	0.0045	-5.01	45.0	0.0	0.0	0.000	0.000	0.0000	0.012	0.0000	0.0000	0	0.000	False	False	False
