wave_peak	wave_base	wave_top	note
381.96817262040355	381.9621721939263	381.98117354443764	
390.71079399778813	390.7037935002313	390.71779449534495	
399.923448782559	399.91144792960444	399.92944920903625	
405.0318118568761	405.01881093284203	405.040812496592	
412.97137615738586	412.9573751622722	412.9853771524995	
420.8979395338615	420.88793882306607	420.91194052897515	
444.2996027952204	444.2926022976635	444.30760336385674	
446.58076492766304	446.5667639325494	446.59876620709485	
447.08480075175385	447.06779954340163	447.10580224442435	
454.4023208407865	454.39031998783196	454.4213221912978	
455.54840229794536	455.5354013739112	455.56740364845666	
456.2364512006725	456.22445034771795	456.2534524090247	
458.3416008231152	458.32659975692206	458.3576019603879	
458.8206348702174	458.8036336618651	458.83563593641054	
459.2056622358423	459.19066116964916	459.2236635152741	
460.7337708453874	460.71676963703516	460.74577169834197	
465.72012524800004	465.70912446612505	465.73312617203413	
472.216586980726	472.1965855591351	472.24258882879417	
473.0036429203281	472.98964192521447	473.0256444840781	
475.81184251169117	475.7948413033389	475.8308438622025	
475.9278507569184	475.9098494774866	475.9428518231116	
477.9979978915771	477.9759963278271	478.0209995264066	
481.0532150395878	481.03421368907647	481.06721603470146	
482.04128526617853	482.02428405782626	482.0602866166899	
485.4865301352119	485.4685288557801	485.50453141464374	
486.56160654572307	486.5466054795299	486.57660761191624	
487.4016662525411	487.3866651863479	487.4176673898138	
487.5486767012342	487.52467499532514	487.56467783850695	
488.36873498646133	488.35373392026816	488.3837360526545	
490.0118517701542	490.0018510593587	490.03285326282463	
491.1199305262903	491.0909284649835	491.1329314503244	
491.36194772754027	491.3429463770289	491.3799490069721	
493.6341092202671	493.62010822515344	493.65111042861935	
495.3212291314599	495.30422792310765	495.3432306952099	
501.09463947367465	501.069637696686	501.1086404687883	
502.2867242004926	502.26572270782214	502.3047254799244	
504.4218759553217	504.40587481804897	504.4398772347535	
505.46395002020785	505.4429485275374	505.48795172611693	
508.7421830189572	508.72618188168445	508.7651846537867	
510.5543118150932	510.53831067782045	510.58431394747953	
511.3443679679339	511.3333671860589	511.3613691762862	
512.736466910661	512.7104650625927	512.7544681900927	
514.748609922706	514.7326087854333	514.7606107756606	
517.6568166220236	517.6378152715122	517.6708176171371	
519.7579659601481	519.7369644674777	519.7769673106595	
519.8719740632163	519.843972072989	519.8989759823639	
520.0409860756595	520.0289852227049	520.0609874972504	
521.1530651161138	521.1380640499206	521.1670661112273	
521.269073361341	521.2500720108296	521.2880747118523	
521.82111259725	521.8051114599773	521.8401139477613	
521.9701231881022	521.95312197975	521.9861243253749	
522.5531646274771	522.5351633480452	522.5691657647499	
523.4632293098632	523.4372274617951	523.4912313000905	
523.7322484302609	523.7142471508291	523.7502497096928	
524.2492851783859	524.229283756795	524.273286884295	
524.7053175906585	524.6883163823062	524.7203186568516	
524.7573212867949	524.7403200784426	524.7763226373062	
525.0213400517948	525.0063389856016	525.0403414023061	
526.0384123396923	526.0164107759423	526.054413476965	
526.4804437568513	526.4624424774195	526.4994451073626	
527.2004949341239	527.180493512533	527.2124957870784	
529.5316606205438	529.5146594121916	529.5506619710552	
529.6696704295211	529.6516691500892	529.691671993271	
530.0746992167369	530.0586980794642	530.0927004961687	
534.2699973954293	534.2539962581566	534.287998674861	
534.8320373421336	534.8140360627019	534.8600393323609	
537.3712178130991	537.3492162493491	537.3922193057695	
537.9582595367922	537.9372580441217	537.9802611005421	
538.1022697722467	538.0842684928148	538.1232712649171	
538.6333075154852	538.6193065203715	538.6493086527579	
539.9484009850871	539.9253993502576	539.9704025488372	
541.4075046901437	541.3855031263937	541.4265060406551	
541.87753809753	541.8595368180981	541.8955393769618	
542.5255841570753	542.5045826644048	542.5515860051435	
546.6398765783244	546.6188750856539	546.6658784263926	
546.6988807720176	546.6818795636653	546.7148819092903	
548.3359971292332	548.322996205199	548.3569986219036	
549.0150453922444	549.0020444682103	549.0310465295171	
551.2982076668462	551.2692056055394	551.3202092305962	
552.2452749791755	552.2272736997437	552.2632762586073	
554.6514459965614	554.6324446460501	554.6684472049137	
556.0215433755384	556.0025420250271	556.044545010368	
558.1976980446289	558.1726962676403	558.2206996794584	
558.9357505013332	558.918749292981	558.9547518518447	
559.0117559033787	558.995754766106	559.0307572538901	
561.8639586222417	561.8459573428099	561.8809598305941	
563.8270981513891	563.7950958768437	563.8510998572982	
564.5611503237753	564.5381486889457	564.5741512478094	
564.9991814566162	564.9831803193434	565.0191828782071	
566.1342621319	566.1172609235477	566.15626369565	
566.556292127468	566.5332904926386	566.5812939044567	
567.902387800536	567.8813863078656	567.9293897196837	
568.4194245486609	568.4024233403086	568.432425472695	
568.4484266099677	568.432425472695	568.4734283869564	
569.0424688312175	569.0254676228653	569.0684706792857	
570.1105447441719	570.0885431804219	570.1305461657628	
570.1555479427515	570.1305461657628	570.1765494354219	
570.5465757348536	570.5285744554218	570.5675772275241	
571.1096157526376	571.084613975649	571.1376177428649	
572.7047291245123	572.6917282004782	572.7267306882623	
579.30719839167	579.2831966857609	579.3312000975791	
580.5222847533175	580.5032834028061	580.5462864592266	
585.3686292047938	585.3456275699642	585.3896306974642	
585.5086391559302	585.4936380897369	585.5256403642824	
586.645719973373	586.6287187650208	586.676722176839	
586.7567278632026	586.7377265126912	586.7747291426344	
590.5679987473495	590.5459971835995	590.5900003110995	
591.6250738784289	591.6100728122357	591.6430751578607	
592.7791559042241	592.7591544826332	592.8021575390536	
593.4662047358717	593.4412029588831	593.4892063707013	
595.6703613951894	595.6533601868372	595.6913628878599	
598.7065771926888	598.6815754157002	598.7305788985979	
600.3016905645635	600.2766887875748	600.3306926258703	
600.5547085476884	600.5367072682566	600.5717097560407	
602.7058614397903	602.6858600181994	602.732863358938	
605.6010672150737	605.5780655802442	605.6240688499033	
607.9012306980278	607.8812292764369	607.9242323328574	
608.2712569974595	608.2572560023459	608.2912584190505	
608.6282823728573	608.602280524789	608.6502839366071	
609.0213103071185	608.9973086012094	609.0393115865503	
609.3643346874026	609.341333052573	609.385336180073	
609.6673562245047	609.6443545896752	609.6893577882547	
610.8124376105841	610.7804353360386	610.8364393164932	
611.9535187123452	611.936517503993	611.9655195652997	
612.5025577350154	612.4745557447882	612.5275595120041	
612.6225662645609	612.6045649851292	612.6405675439928	
613.0135940566631	612.9945927061517	613.0295951939358	
614.5016998230265	614.4786981881969	614.5277016710946	
615.1617467355263	615.1347448163785	615.1837482992763	
615.4227652872876	615.3997636524581	615.4407665667195	
615.773790236208	615.7527887435376	615.8007921553558	
616.0748116311511	616.0528100674012	616.0988133370602	
616.5368444699011	616.5118426929124	616.556845891492	
616.6438520754124	616.6188502984237	616.6698539234806	
616.9038705560941	616.8648677839919	616.9298724041623	
617.3339011202986	617.310899485469	617.3629031816054	
617.6819258559804	617.6529237946736	617.7069276329689	
618.8000053229119	618.7720033326847	618.8210068155825	
620.0320928929117	620.0060910448435	620.0550945277412	
620.4611233860367	620.4451222487639	620.4771245233094	
621.3441861492751	621.3231846566046	621.3681878551841	
621.9292277308091	621.8952253141044	621.951229294559	
622.3992611381952	622.3792597166043	622.4172624176272	
622.6742806850702	622.6552793345588	622.7002825331384	
624.0653795567177	624.0473782772858	624.0883811915472	
624.3824020889335	624.3594004541039	624.4024035105244	
624.4474067091039	624.4264052164335	624.4834092679675	
624.5624148832517	624.5424134616608	624.5824163048426	
624.7564286726835	624.7394274643311	624.7764300942744	
625.8105035905241	625.7895020978538	625.8335052253537	
626.1105249143877	626.0905234927968	626.1435272600127	
626.514553630524	626.4785510716604	626.5385553364331	
627.0235898100125	627.0075886727398	627.0465914448421	
627.1285972733648	627.1135962071717	627.1445984106375	
627.9756574777396	627.9586562693873	627.981657904217	
631.9239380997842	631.9029366071138	631.937939094898	
636.2352445237038	636.2182433153516	636.2582461585334	
637.8253575401808	637.8013558342717	637.8453589617717	
638.0743752389876	638.051373604158	638.1003770870557	
641.6926324047822	641.6706308410323	641.7156340396118	
643.2687444261455	643.2447427202364	643.2887458477364	
645.5609073404632	645.5339054213156	645.5819088331338	
645.6389128846679	645.6069106101224	645.6619145194974	
647.167021494213	647.1420197172243	647.1910232001221	
649.6912008989852	649.6681992641556	649.7182028181329	
649.8942153281329	649.8722137643829	649.9132166786442	
649.9652203747805	649.942218739951	649.9852217963714	
659.387890086256	659.3588880249491	659.4178922186422	
